IGN,YEAR,POS,NAT,TEAM,BIRTH,CHAMP1,CHAMP2,CHAMP3,LEAGUE
DONTMASHME,13,Bot Laner,Canada,Good Game University,1994-12-22,Caitlyn,Ezreal,Twitch,LCS
I AM ANJO,13,Support,United States,Good Game University,1996-01-02,Lulu,Taric,0,LCS
BLOODWATER,13,Support,Bulgaria,Good Game University,,Sona,Zyra,Lulu,LCS
DAYDREAMIN,13,Support,United States,Good Game University,,Thresh,Blitzcrank,Nami,LCS
VOYBOY,13,Top Laner,United States,Team Curse,1994-12-15,Elise,Kennen,Renekton,LCS
SAINTVICIOUS,13,Jungler,United States,Team Curse,1987-05-23,Jarvan IV,Nasus,Nautilus,LCS
NYJACKY,13,Mid Laner,China,Team Curse,1988-08-24,Orianna,Karthus,Ryze,LCS
COP,13,Bot Laner,United States,Team Curse,1992-06-14,Caitlyn,Twitch,Miss Fortune,LCS
ELEMENTZ,13,Support,Canada,Team Curse,1988-10-11,Sona,Lulu,Thresh,LCS
MEGAZERO,13,Top Laner,United States,Team MRN,1994-09-29,Renekton,Riven,Malphite,LCS
CLAKEYD,13,Jungler,United States,Team MRN,1989-10-05,Jarvan IV,Shen,Vi,LCS
ECCO,13,Mid Laner,United States,Team MRN,1991-09-01,Twisted Fate,Ahri,Lux,LCS
NIENTONSOH,13,Mid Laner,United States,Team MRN,1994-07-01,Malphite,Zac,Shen,LCS
HEARTBEAT,13,Bot Laner,South Korea,Team MRN,1991-05-07,Lulu,Tristana,Sona,LCS
NYSYLI,13,Bot Laner,United States,Team MRN,1993-10-05,Caitlyn,0,0,LCS
ATOMICN,13,Support,United States,Team MRN,1992-01-30,Alistar,Sona,Lulu,LCS
SYCHO SID,13,Top Laner,United States,Team Vulcun,,Shen,Elise,Vladimir,LCS
XMITHIE,13,Jungler,Philippines,Team Vulcun,1991-05-10,Jarvan IV,Nasus,Lee Sin,LCS
MANCLOUD,13,Mid Laner,United States,Team Vulcun,1991-07-28,Ryze,Karthus,Twisted Fate,LCS
ZUNA,13,Bot Laner,United States,Team Vulcun,1990-12-25,Tristana,Caitlyn,Kog'Maw,LCS
MUFFINQT,13,Support,United States,Team Vulcun,1992-09-17,Alistar,Sona,Thresh,LCS
BLOODWATER,13,Support,Bulgaria,Team Vulcun,1992-03-30,Sona,Zyra,Lulu,LCS
DYRUS,13,Top Laner,United States,TSM,1988-11-25,Rumble,Renekton,Shen,LCS
THEODDONE,13,Jungler,Canada,TSM,1992-04-19,Elise,Nasus,Jarvan IV,LCS
REGINAID,13,Mid Laner,United States,TSM,1991-06-14,Karthus,Orianna,Zed,LCS
CHAOX,13,Bot Laner,China,TSM,1995-02-09,Miss Fortune,Kog'Maw,Ezreal,LCS
WILDTURTLE,13,Bot Laner,Canada,TSM,1992-08-12,Caitlyn,Draven,Twitch,LCS
XPECIAL,13,Support,United States,TSM,1994-06-22,Sona,Thresh,Lulu,LCS
BALIS,13,Top Laner,United States,Cloud9,1993-06-13,Rumble,Shen,Kennen,LCS
METEOS,13,Jungler,United States,Cloud9,1992-09-20,Zac,Nasus,Elise,LCS
HAI,13,Mid Laner,United States,Cloud9,1994-03-19,Zed,Kennen,Jayce,LCS
SNEAKY,13,Bot Laner,United States,Cloud9,1989-06-15,Ashe,Ezreal,Draven,LCS
LEMONNATION,13,Support,United States,Cloud9,1994-11-12,Zyra,Thresh,Sona,LCS
ZIONSPARTAN,13,Top Laner,Canada,Team Coast,1992-10-24,Riven,Kha'Zix,Jayce,LCS
JINTAE,13,Top Laner,United States,Team Coast,1995-07-28,Orianna,Karthus,Ryze,LCS
NINTENDUDEX,13,Jungler,United States,Team Coast,1993-01-27,Elise,Jarvan IV,Nasus,LCS
SHIPHTUR,13,Mid Laner,Canada,Team Coast,1994-12-22,Ahri,Zed,Lissandra,LCS
DONTMASHME,13,Bot Laner,Canada,Team Coast,,Caitlyn,Ezreal,Twitch,LCS
DAYDREAMIN,13,Support,United States,Team Coast,1992-10-24,Thresh,Blitzcrank,Nami,LCS
CRIS,13,Top Laner,Mexico,Velocity eSports,,Elise,Kennen,Renekton,LCS
NK INC,13,Jungler,United States,Velocity eSports,1991-11-30,Lee Sin,Nasus,Jarvan IV,LCS
VILEROZE,13,Mid Laner,United States,Velocity eSports,1991-09-01,Kayle,Rumble,Lux,LCS
ECCO,13,Mid Laner,United States,Velocity eSports,1993-01-10,Twisted Fate,Ahri,Lux,LCS
MAPLESTREET,13,Bot Laner,Canada,Velocity eSports,,Varus,Draven,Twitch,LCS
EVANISKUS,13,Support,United States,Velocity eSports,,Zyra,Thresh,Nami,LCS
BALIS,14,Top Laner,United States,Cloud9,1994-06-22,Shyvana,Renekton,Trundle,LCS
METEOS,14,Jungler,United States,Cloud9,1993-06-13,Elise,Kha'Zix,Lee Sin,LCS
HAI,14,Mid Laner,United States,Cloud9,1992-09-20,LeBlanc,Yasuo,Zed,LCS
SNEAKY,14,Bot Laner,United States,Cloud9,1994-03-19,Lucian,Corki,Kog'Maw,LCS
LEMONNATION,14,Support,United States,Cloud9,1989-06-15,Morgana,Thresh,Braum,LCS
NIEN,14,Top Laner,United States,Counter Logic Gaming,1994-07-01,Shyvana,Trundle,Renekton,LCS
DEXTER,14,Jungler,Germany,Counter Logic Gaming,,Elise,Lee Sin,Kha'Zix,LCS
LINK,14,Jungler,United States,Counter Logic Gaming,,Orianna,Lulu,Ziggs,LCS
HOTSHOTGG,14,Mid Laner,Canada,Counter Logic Gaming,1990-06-23,Nidalee,Zilean,Cassiopeia,LCS
CHAUSTER,14,Mid Laner,United States,Counter Logic Gaming,1989-02-13,Ziggs,Yasuo,0,LCS
DOUBLELIFT,14,Bot Laner,United States,Counter Logic Gaming,1993-07-19,Lucian,Jinx,Sivir,LCS
APHROMOO,14,Support,United States,Counter Logic Gaming,1992-09-08,Thresh,Morgana,Leona,LCS
CRUZER,14,Top Laner,United States,Dignitas,,Dr. Mundo,Shyvana,Lee Sin,LCS
CRUMBZ,14,Jungler,Venezuela,Dignitas,1993-02-06,Elise,Lee Sin,Kha'Zix,LCS
SCARRA,14,Mid Laner,United States,Dignitas,1989-11-25,Karthus,Gragas,Ziggs,LCS
GOLDENGLUE,14,Mid Laner,United States,Dignitas,1996-11-23,Orianna,Ziggs,Yasuo,LCS
IMAQTPIE,14,Bot Laner,United States,Dignitas,1992-02-21,Lucian,Jinx,Kog'Maw,LCS
KIWIKID,14,Support,United States,Dignitas,1993-11-08,Thresh,Annie,Braum,LCS
INNOX,14,Top Laner,Canada,Evil Geniuses,1995-07-05,Dr. Mundo,Nidalee,Lee Sin,LCS
SNOOPEH,14,Jungler,United Kingdom,Evil Geniuses,1991-09-15,Elise,Pantheon,Olaf,LCS
THINKCARD,14,Jungler,United States,Evil Geniuses,1992-10-08,Evelynn,Lee Sin,Elise,LCS
POBELTER,14,Mid Laner,United States,Evil Geniuses,1996-10-14,Ziggs,Orianna,LeBlanc,LCS
YELLOWPETE,14,Bot Laner,Germany,Evil Geniuses,1989-10-05,Lucian,Jinx,Caitlyn,LCS
ROBERTXLEE,14,Bot Laner,United States,Evil Geniuses,1992-06-24,Lucian,Caitlyn,Corki,LCS
KREPO,14,Support,Belgium,Evil Geniuses,1990-05-08,Morgana,Thresh,Leona,LCS
KEN,14,Support,United States,Evil Geniuses,1994-11-15,Thresh,Nami,Morgana,LCS
ZIONSPARTAN,14,Top Laner,Canada,Team Coast,1994-11-12,Shyvana,Jax,Dr. Mundo,LCS
NINTENDUDEX,14,Jungler,United States,Team Coast,1995-07-28,Elise,Vi,Olaf,LCS
SHIPHTUR,14,Mid Laner,Canada,Team Coast,1993-01-27,Ziggs,Ahri,Nidalee,LCS
WIZFUJIIN,14,Bot Laner,United States,Team Coast,1994-08-15,Lucian,Caitlyn,Jinx,LCS
DAYDREAMIN,14,Support,United States,Team Coast,,Thresh,Leona,Annie,LCS
QUAS,14,Top Laner,Venezuela,Team Curse,1991-11-25,Renekton,Lulu,Dr. Mundo,LCS
IWDOMINATE,14,Jungler,United States,Team Curse,1990-08-13,Elise,Evelynn,Vi,LCS
VOYBOY,14,Mid Laner,United States,Team Curse,1994-12-15,Yasuo,Lulu,Syndra,LCS
COP,14,Bot Laner,United States,Team Curse,1992-06-14,Caitlyn,Lucian,Corki,LCS
ZEKENT,14,Support,United States,Team Curse,1989-09-07,Annie,Lulu,Thresh,LCS
SAINTVICIOUS,14,Support,United States,Team Curse,1987-05-23,Elise,Evelynn,Kha'Zix,LCS
BUNNY FUFUU,14,Support,United States,Team Curse,1996-08-23,Thresh,Leona,Morgana,LCS
DYRUS,14,Top Laner,United States,TSM,1992-03-30,Shyvana,Dr. Mundo,Renekton,LCS
THEODDONE,14,Jungler,Canada,TSM,1988-11-25,Elise,Evelynn,Vi,LCS
BJERGSEN,14,Mid Laner,Denmark,TSM,1996-02-21,Syndra,Orianna,LeBlanc,LCS
REGINAID,14,Mid Laner,United States,TSM,1992-04-19,Gragas,Lulu,Zed,LCS
WILDTURTLE,14,Bot Laner,Canada,TSM,1995-02-09,Lucian,Tristana,Corki,LCS
XPECIAL,14,Support,United States,TSM,1992-08-12,Thresh,Leona,Braum,LCS
BENNY,14,Top Laner,United States,XDG Gaming,1990-12-25,Shyvana,Renekton,Trundle,LCS
ZUNA,14,Jungler,United States,XDG Gaming,1992-07-25,Caitlyn,Elise,Olaf,LCS
NICKWU,14,Jungler,United States,XDG Gaming,1991-07-28,Vi,Wukong,0,LCS
MANCLOUD,14,Mid Laner,United States,XDG Gaming,1991-05-10,Orianna,Ziggs,Gragas,LCS
XMITHIE,14,Bot Laner,Philippines,XDG Gaming,,Lee Sin,Lucian,Sivir,LCS
BLOODWATER,14,Support,Bulgaria,XDG Gaming,1992-06-12,Thresh,Leona,Annie,LCS
SHEEP,14,Support,Canada,XDG Gaming,1992-07-13,Thresh,Morgana,Leona,LCS
WESTRICE,14,Top Laner,United States,CompLexity Gaming,1993-09-08,Renekton,Shyvana,Jax,LCS
BROKENSHARD,14,Jungler,Israel,CompLexity Gaming,1994-03-30,Lee Sin,Elise,Kha'Zix,LCS
KEZ,14,Jungler,United States,CompLexity Gaming,1990-01-17,Elise,Evelynn,Vi,LCS
PR0LLY,14,Mid Laner,United States,CompLexity Gaming,1991-07-28,Orianna,Ziggs,Kassadin,LCS
MANCLOUD,14,Mid Laner,United States,CompLexity Gaming,1992-06-24,Orianna,Ziggs,Gragas,LCS
ROBERTXLEE,14,Bot Laner,United States,CompLexity Gaming,,Lucian,Caitlyn,Corki,LCS
BUBBADUB,14,Support,United States,CompLexity Gaming,1993-05-12,Thresh,Morgana,Annie,LCS
ACKERMAN,14,Top Laner,China,LMQ,,Renekton,Shyvana,Gragas,LCS
NONAME,14,Jungler,China,LMQ,1994-09-15,Lee Sin,Elise,Kha'Zix,LCS
XIAOWEIXIAO,14,Mid Laner,China,LMQ,1994-10-27,Orianna,Yasuo,Nidalee,LCS
VASILII,14,Bot Laner,China,LMQ,1993-01-18,Lucian,Caitlyn,Tristana,LCS
MOR,14,Support,China,LMQ,,Thresh,Braum,Nami,LCS
BALIS,15,Top Laner,United States,Cloud9,1994-06-22,Maokai,Rumble,Gnar,LCS
METEOS,15,Jungler,United States,Cloud9,1993-06-13,Gragas,Vi,Rek'Sai,LCS
HAI,15,Mid Laner,United States,Cloud9,1992-09-20,Zed,Corki,Lissandra,LCS
SNEAKY,15,Bot Laner,United States,Cloud9,1994-03-19,Lucian,Tristana,Corki,LCS
LEMONNATION,15,Support,United States,Cloud9,1989-06-15,Braum,Morgana,Nautilus,LCS
BENNY,15,Top Laner,United States,Counter Logic Gaming,,Gnar,Rumble,0,LCS
ZIONSPARTAN,15,Top Laner,Canada,Counter Logic Gaming,1994-11-12,Gnar,Rumble,Maokai,LCS
XMITHIE,15,Jungler,Philippines,Counter Logic Gaming,1991-05-10,Gragas,Vi,Lee Sin,LCS
LINK,15,Mid Laner,United States,Counter Logic Gaming,,Ahri,Ezreal,Lissandra,LCS
DOUBLELIFT,15,Bot Laner,United States,Counter Logic Gaming,1993-07-19,Tristana,Sivir,Jinx,LCS
APHROMOO,15,Support,United States,Counter Logic Gaming,1992-09-08,Alistar,Janna,Thresh,LCS
GAMSU,15,Top Laner,South Korea,Dignitas,1995-02-14,Gnar,Jarvan IV,Hecarim,LCS
CRUMBZZ,15,Jungler,Venezuela,Dignitas,1993-02-06,Rek'Sai,Gragas,Lee Sin,LCS
CLOUDNGUYEN,15,Jungler,Canada,Dignitas,,Jarvan IV,Lee Sin,Kha'Zix,LCS
AZINGY,15,Jungler,United States,Dignitas,1993-08-23,Zac,Vi,Jarvan IV,LCS
SHIPHTUR,15,Mid Laner,Canada,Dignitas,1993-01-27,Ahri,Azir,LeBlanc,LCS
COREJJ,15,Bot Laner,South Korea,Dignitas,1994-06-22,Sivir,Corki,Kalista,LCS
KIWIKID,15,Support,United States,Dignitas,1993-11-08,Thresh,Annie,Alistar,LCS
HAUNTZER,15,Top Laner,United States,Gravity,1995-05-20,Maokai,Rumble,Hecarim,LCS
SAINTVICIOUS,15,Jungler,United States,Gravity,1987-05-23,Jarvan IV,Nunu,Rek'Sai,LCS
KEANE,15,Mid Laner,South Korea,Gravity,1993-08-03,Zed,Orianna,Urgot,LCS
COP,15,Bot Laner,United States,Gravity,1992-06-14,Corki,Graves,Sivir,LCS
BUNNY FUFUU,15,Support,United States,Gravity,1996-08-23,Thresh,Morgana,Braum,LCS
CALITRLOLZ8,15,Top Laner,South Korea,Team 8,,Maokai,Gragas,Irelia,LCS
PORPOISE8,15,Jungler,Canada,Team 8,,Rek'Sai,Gragas,Jarvan IV,LCS
SLOOSHI8,15,Mid Laner,United States,Team 8,,Orianna,LeBlanc,Azir,LCS
MAPLESTREET8,15,Bot Laner,Canada,Team 8,1993-01-10,Graves,Urgot,Sivir,LCS
DODO8,15,Support,South Korea,Team 8,1989-02-25,Thresh,Morgana,Alistar,LCS
CRIS,15,Top Laner,Mexico,Team Coast,1992-10-24,Gnar,Rumble,Maokai,LCS
IMPALER,15,Jungler,United Kingdom,Team Coast,1996-03-25,Rek'Sai,Jarvan IV,Lee Sin,LCS
WTHEAVEN,15,Jungler,United States,Team Coast,1994-03-18,Gragas,Rek'Sai,0,LCS
JESIZ,15,Mid Laner,Denmark,Team Coast,1996-06-17,Orianna,Ahri,Thresh,LCS
MANCLOUD,15,Mid Laner,United States,Team Coast,1991-07-28,Azir,Viktor,Cassiopeia,LCS
MASH,15,Bot Laner,Canada,Team Coast,1994-12-22,Corki,Lucian,Sivir,LCS
SHEEP,15,Support,Canada,Team Coast,1992-06-12,Janna,Thresh,Nautilus,LCS
KONKWON,15,Support,South Korea,Team Coast,,Janna,Braum,Alistar,LCS
RHUX,15,Top Laner,United States,Team Impulse,1994-09-08,Rumble,Maokai,Irelia,LCS
IMPACT,15,Top Laner,South Korea,Team Impulse,1995-03-07,Maokai,Shen,Rumble,LCS
RUSH,15,Jungler,South Korea,Team Impulse,1993-04-06,Lee Sin,Evelynn,Nidalee,LCS
XIAOWEIXIAO,15,Mid Laner,China,Team Impulse,1994-09-15,LeBlanc,Orianna,Yasuo,LCS
APOLLO,15,Bot Laner,United States,Team Impulse,1994-08-15,Sivir,Graves,Kog'Maw,LCS
ADRIAN,15,Support,United States,Team Impulse,1997-02-18,Janna,Alistar,Leona,LCS
QUAS,15,Top Laner,Venezuela,Team Liquid,1991-11-25,Maokai,Gnar,Hecarim,LCS
IWDOMINATE,15,Jungler,United States,Team Liquid,1990-08-13,Rek'Sai,Gragas,Sejuani,LCS
FENIX,15,Mid Laner,South Korea,Team Liquid,1997-11-23,Azir,Viktor,Lulu,LCS
KEITH,15,Bot Laner,United States,Team Liquid,1994-02-04,Jinx,Corki,Sivir,LCS
PIGLET,15,Bot Laner,South Korea,Team Liquid,1992-08-12,Vayne,Kalista,Sivir,LCS
XPECIAL,15,Support,United States,Team Liquid,1992-03-30,Janna,Annie,Alistar,LCS
DYRUS,15,Top Laner,United States,TSM,1997-05-06,Maokai,Gnar,Rumble,LCS
SANTORIN,15,Jungler,Denmark,TSM,1996-02-21,Gragas,Rek'Sai,Nidalee,LCS
BJERGSEN,15,Mid Laner,Denmark,TSM,1995-02-09,LeBlanc,Ahri,Azir,LCS
WILDTURTLE,15,Bot Laner,Canada,TSM,1994-02-18,Sivir,Jinx,Corki,LCS
LUSTBOY,15,Support,South Korea,TSM,1997-11-05,Thresh,Annie,Janna,LCS
FLARESZ,15,Top Laner,United States,Winterfox,1996-03-27,Irelia,Hecarim,Rumble,LCS
AVALON,15,Top Laner,South Korea,Winterfox,1997-06-25,Maokai,Sion,Gnar,LCS
SHORTERACE,15,Jungler,United States,Winterfox,1993-06-20,Lee Sin,Gragas,Nunu,LCS
HELIOS,15,Jungler,South Korea,Winterfox,1996-10-14,Rek'Sai,Lee Sin,Jarvan IV,LCS
POBELTER,15,Mid Laner,United States,Winterfox,1997-05-08,Viktor,Lulu,Azir,LCS
ALTEC,15,Bot Laner,Canada,Winterfox,1996-03-29,Sivir,Tristana,Ashe,LCS
GLEEB,15,Support,United States,Winterfox,,Janna,Nami,Morgana,LCS
IMAGINE,15,Support,South Korea,Winterfox,1997-11-05,Gragas,Ekko,Rek'Sai,LCS
FLARESZ,15,Top Laner,United States,Enemy,1995-02-22,Irelia,Hecarim,Rumble,LCS
TRASHY,15,Jungler,Denmark,Enemy,1995-07-05,Rek'Sai,Gragas,Lee Sin,LCS
INNOX,15,Mid Laner,Canada,Enemy,,Kassadin,Nidalee,Ahri,LCS
OTTER,15,Bot Laner,United States,Enemy,1991-12-27,Sivir,Kalista,Corki,LCS
BODYDROP,15,Support,Canada,Enemy,1995-03-09,Morgana,Janna,Annie,LCS
SERAPH,15,Top Laner,South Korea,Team Dragon Knights,1994-03-30,Dr. Mundo,Rumble,Vladimir,LCS
KEZ,15,Jungler,United States,Team Dragon Knights,1994-08-28,Gragas,Elise,Lee Sin,LCS
BISCHU,15,Mid Laner,South Korea,Team Dragon Knights,1991-07-28,Viktor,Azir,Orianna,LCS
MANCLOUD,15,Mid Laner,United States,Team Dragon Knights,,Azir,Viktor,Cassiopeia,LCS
NINJA,15,Mid Laner,South Korea,Team Dragon Knights,1995-02-14,Ezreal,Xerath,Ahri,LCS
LATTMAN,15,Bot Laner,United States,Team Dragon Knights,1993-06-07,Corki,Lucian,Caitlyn,LCS
EMPEROR,15,Bot Laner,South Korea,Team Dragon Knights,,Graves,Sivir,Lucian,LCS
BABY,15,Support,United States,Team Dragon Knights,1997-02-10,Thresh,Nautilus,Alistar,LCS
SMOOTHIE,15,Support,Canada,Team Dragon Knights,,Alistar,Janna,Thresh,LCS
ZIG,16,Top Laner,Canada,Phoenix1,1994-09-15,Shen,Gnar,Trundle,LCS
BRANDINI,16,Top Laner,United States,Phoenix1,1997-08-13,Trundle,Shen,Dr. Mundo,LCS
ZENTINEL,16,Jungler,United States,Phoenix1,1998-04-29,Elise,Kindred,Rek'Sai,LCS
INORI,16,Jungler,Canada,Phoenix1,1994-12-31,Hecarim,Rek'Sai,Elise,LCS
PIREAN,16,Mid Laner,South Korea,Phoenix1,1998-04-09,Azir,Karma,Viktor,LCS
SLOOSHI,16,Mid Laner,United States,Phoenix1,,Sivir,LeBlanc,Corki,LCS
MASH,16,Bot Laner,Canada,Phoenix1,1994-12-22,Lucian,Sivir,Ashe,LCS
GATE,16,Support,United States,Phoenix1,1994-03-20,Braum,Bard,Zyra,LCS
SERAPH,16,Top Laner,South Korea,Team EnVyUs,1995-03-09,Lissandra,Trundle,Fiora,LCS
PROCXIN,16,Jungler,South Korea,Team EnVyUs,1995-09-20,Rek'Sai,Gragas,Elise,LCS
NINJA,16,Mid Laner,South Korea,Team EnVyUs,,Lissandra,Karma,Viktor,LCS
LOD,16,Bot Laner,Canada,Team EnVyUs,1997-04-30,Sivir,Ezreal,Lucian,LCS
HAKUHO,16,Support,United States,Team EnVyUs,1995-02-26,Braum,Karma,Trundle,LCS
ZIG,17,Top Laner,Canada,Phoenix1,1994-09-15,Kled,Renekton,Shen,LCS
ALLORIM,17,Top Laner,United States,Phoenix1,1995-09-05,Poppy,Maokai,Nautilus,LCS
INORI,17,Jungler,Canada,Phoenix1,1994-12-31,Kha'Zix,Elise,Rek'Sai,LCS
METEOS,17,Jungler,United States,Phoenix1,1993-06-13,Elise,Zac,Rengar,LCS
MIKEYEUNG,17,Jungler,United States,Phoenix1,1999-05-22,Lee Sin,Nidalee,Elise,LCS
RYU,17,Mid Laner,South Korea,Phoenix1,1994-01-28,Corki,Orianna,Syndra,LCS
PIREAN,17,Mid Laner,South Korea,Phoenix1,1998-04-09,Taliyah,Corki,Ahri,LCS
ARROW,17,Bot Laner,South Korea,Phoenix1,1994-07-20,Varus,Jhin,Kalista,LCS
SHADY,17,Support,United States,Phoenix1,,Lulu,Karma,Braum,LCS
XPECIAL,17,Support,United States,Phoenix1,1992-08-12,Braum,Thresh,Lulu,LCS
ZIV,16,Top Laner,Taiwan,ahq eSports Club,1994-12-24,Gnar,Trundle,Maokai,PCS
MOUNTAIN,16,Jungler,Taiwan,ahq eSports Club,1995-02-22,Gragas,Elise,Rek'Sai,PCS
WESTDOOR,16,Mid Laner,Taiwan,ahq eSports Club,1993-10-16,Lissandra,Twisted Fate,Malzahar,PCS
CHAWY,16,Mid Laner,Singapore,ahq eSports Club,1991-11-28,Azir,Viktor,LeBlanc,PCS
AN,16,Bot Laner,Taiwan,ahq eSports Club,1994-10-20,Ezreal,Ashe,Sivir,PCS
ALBIS,16,Support,Taiwan,ahq eSports Club,1993-12-19,Alistar,Braum,Tahm Kench,PCS
SMURF,16,Top Laner,Russia,Albus NoX Luna,1994-06-22,Poppy,Maokai,Trundle,LCL
PVPSTEJOS,16,Jungler,Ukraine,Albus NoX Luna,1996-12-24,Graves,Gragas,Elise,LCL
KIRA,16,Mid Laner,Ukraine,Albus NoX Luna,1993-03-07,Anivia,Azir,Viktor,LCL
AMIRACLE,16,Bot Laner,Ukraine,Albus NoX Luna,1993-09-02,Lucian,Jhin,Sivir,LCL
LIKKRIT,16,Support,Russia,Albus NoX Luna,1995-10-03,Bard,Brand,Alistar,LCL
MMD,16,Top Laner,Taiwan,Flash Wolves,1994-12-24,Ekko,Maokai,Poppy,LMS
KARSA,16,Jungler,Taiwan,Flash Wolves,1997-02-14,Elise,Lee Sin,Graves,LMS
MAPLE,16,Mid Laner,Taiwan,Flash Wolves,1997-10-10,LeBlanc,Ryze,Vladimir,LMS
NL,16,Bot Laner,Taiwan,Flash Wolves,1995-04-02,Ezreal,Sivir,Jhin,LMS
SWORDART,16,Support,Taiwan,Flash Wolves,1996-12-21,Alistar,Thresh,Braum,LMS
YANG,16,Top Laner,Brazil,INTZ,1996-04-14,Ekko,Poppy,Trundle,CBLOL
REVOLTA,16,Jungler,Brazil,INTZ,1995-12-27,Elise,Graves,Rek'Sai,CBLOL
TOCKERS,16,Mid Laner,Brazil,INTZ,1996-08-21,Azir,Viktor,Lissandra,CBLOL
MICAO,16,Bot Laner,Brazil,INTZ,1996-09-05,Ashe,Ezreal,Lucian,CBLOL
JOCKSTER,16,Support,Brazil,INTZ,1996-02-18,Bard,Alistar,Braum,CBLOL
ZIV,17,Top Laner,Taiwan,Ahq eSports Club,1994-12-24,Maokai,Nautilus,Camille,PCS
MOUNTAIN,17,Jungler,Taiwan,Ahq eSports Club,1995-02-22,Gragas,Kha'Zix,Lee Sin,PCS
WESTDOOR,17,Mid Laner,Taiwan,Ahq eSports Club,1993-10-16,Cassiopeia,Taliyah,Kassadin,PCS
CHAWY,17,Mid Laner,Singapore,Ahq eSports Club,1991-11-28,Orianna,Syndra,Ryze,PCS
AN,17,Bot Laner,Taiwan,Ahq eSports Club,1994-10-20,Ashe,Varus,Kalista,PCS
ALBIS,17,Support,Taiwan,Ahq eSports Club,1993-12-19,Thresh,Braum,Malzahar,PCS
THALDRIN,17,Top Laner,Turkey,Fenerbahçe Esports,1994-08-01,Jarvan IV,Maokai,Renekton,TCL
CRASH,17,Jungler,South Korea,Fenerbahçe Esports,1997-01-05,Gragas,Kha'Zix,Lee Sin,TCL
FROZEN,17,Mid Laner,South Korea,Fenerbahçe Esports,1994-11-04,Syndra,Orianna,Taliyah,TCL
PADDEN,17,Bot Laner,Turkey,Fenerbahçe Esports,1995-10-27,Tristana,Caitlyn,Kalista,TCL
JAPONE,17,Support,Turkey,Fenerbahçe Esports,1997-12-23,Karma,Lulu,Thresh,TCL
MMD,17,Top Laner,Taiwan,Flash Wolves,1994-12-24,Nautilus,Shen,Maokai,LMS
KARSA,17,Jungler,Taiwan,Flash Wolves,1997-02-14,Lee Sin,Graves,Kha'Zix,LMS
MAPLE,17,Mid Laner,Taiwan,Flash Wolves,1997-10-10,Syndra,Corki,Taliyah,LMS
BETTY,17,Bot Laner,Taiwan,Flash Wolves,2000-01-16,Ashe,Varus,Jhin,LMS
SWORDART,17,Support,Taiwan,Flash Wolves,1996-12-21,Karma,Zyra,Thresh,LMS
ARCHIE,17,Top Laner,Vietnam,GIGABYTE Marines,1992-07-26,Karma,Lulu,Zyra,VCS
LEVI,17,Jungler,Vietnam,GIGABYTE Marines,1997-11-18,Graves,Kha'Zix,Lee Sin,VCS
OPTIMUS,17,Mid Laner,Vietnam,GIGABYTE Marines,1996-12-15,Syndra,LeBlanc,Taliyah,VCS
NOWAY,17,Bot Laner,Vietnam,GIGABYTE Marines,1997-03-05,Varus,Tristana,Kalista,VCS
NEVAN,17,Support,Vietnam,GIGABYTE Marines,1997-07-29,Gragas,Lulu,Jarvan IV,VCS
SYA,17,Support,Vietnam,GIGABYTE Marines,1999-08-13,Tahm Kench,Lulu,Braum,VCS
HANABI,18,Top Laner,Taiwan,Flash Wolves,2000-08-12,Gangplank,Ornn,Cho'Gath,LMS
MOOJIN,18,Jungler,South Korea,Flash Wolves,1998-04-09,Trundle,Skarner,Nocturne,LMS
MAPLE,18,Mid Laner,Taiwan,Flash Wolves,1997-10-10,Galio,Zoe,Ryze,LMS
BETTY,18,Bot Laner,Taiwan,Flash Wolves,2000-01-16,Ezreal,Varus,Kai'Sa,LMS
SWORDART,18,Support,Taiwan,Flash Wolves,1996-12-21,Braum,Tahm Kench,Rakan,LMS
PK,18,Top Laner,Taiwan,G-Rex,1995-11-18,Ornn,Gnar,Cho'Gath,PCS
BAYBAY,18,Jungler,Taiwan,G-Rex,1996-11-29,Skarner,Sejuani,Trundle,PCS
EMPT2Y,18,Jungler,Hong Kong,G-Rex,1997-07-15,Gragas,Skarner,Nocturne,PCS
CANDY,18,Mid Laner,South Korea,G-Rex,1996-01-21,Ryze,Syndra,Talon,PCS
STITCH,18,Bot Laner,South Korea,G-Rex,1996-11-02,Tristana,Varus,Caitlyn,PCS
KOALA,18,Support,Taiwan,G-Rex,1995-08-16,Tahm Kench,Alistar,Braum,PCS
ZEROS,18,Top Laner,Vietnam,Phong Vũ Buffalo,2000-10-06,Ornn,Gnar,Camille,VCS
MELIODAS,18,Jungler,Vietnam,Phong Vũ Buffalo,2000-09-28,Kindred,Graves,Trundle,VCS
XUHAO,18,Jungler,Vietnam,Phong Vũ Buffalo,1999-12-29,Gragas,Nocturne,Rek'Sai,VCS
NAUL,18,Mid Laner,Vietnam,Phong Vũ Buffalo,1998-07-27,Zoe,Ryze,Vel'Koz,VCS
BIGKORO,18,Bot Laner,Vietnam,Phong Vũ Buffalo,1999-07-05,Ezreal,Xayah,Varus,VCS
PALETTE,18,Support,Vietnam,Phong Vũ Buffalo,1999-11-06,Tahm Kench,Shen,Rakan,VCS
ZIV,19,Top Laner,Taiwan,Ahq eSports Club,1994-12-24,Urgot,Gnar,Kennen,PCS
